id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
010000,Mitte,96716,763,465,7856,2002,2221,41915,485,4440,4378,960,287,113,5625,1488,3839,15900
011001,Tiergarten Süd,5267,62,39,522,145,127,2569,30,322,346,50,9,2,258,41,179,1141
011002,Regierungsviertel,13220,41,18,449,87,158,4534,16,224,309,75,5,0,359,111,87,924
011003,Alexanderplatz,20868,140,89,1742,471,313,10485,87,696,926,148,44,16,1146,342,798,3195
011004,Brunnenstraße Süd,4627,38,18,256,61,64,2276,34,289,462,77,17,11,451,196,79,886
012005,Moabit West,7999,66,40,689,176,215,2605,35,399,428,102,25,10,546,81,791,1440
012006,Moabit Ost,10525,50,33,691,160,219,4461,28,389,446,82,29,10,479,77,464,1363
013007,Osloer Straße,6721,55,36,736,174,252,2741,41,371,244,86,36,15,442,72,228,1393
013008,Brunnenstraße Nord,6828,57,28,658,177,235,3055,75,415,342,94,34,13,541,204,198,1338
014009,Parkviertel,6573,83,45,753,159,259,2857,52,483,287,129,26,12,506,130,200,1570
014010,Wedding Zentrum,9546,98,58,1039,277,292,3552,45,492,405,117,53,23,703,194,654,1995
019900,"Bezirk (Mi), nicht zuzuordnen",4542,73,61,321,115,87,2780,42,360,183,0,9,1,194,40,161,655
020000,Friedrichshain-Kreuzberg,54849,608,374,4536,1589,1139,25208,413,2981,4119,611,179,68,4629,1324,4541,9988
021001,Südliche  Friedrichstadt,9987,122,63,735,253,225,4177,48,610,463,82,41,18,662,132,1023,1582
022002,Tempelhofer Vorstadt,9965,88,47,729,221,241,5512,114,747,1276,110,13,7,729,134,229,1751
023003,Nördliche Luisenstadt,5787,76,54,494,179,106,2546,22,217,287,40,21,2,372,108,659,927
023004,Südliche Luisenstadt,5231,98,64,410,166,92,2182,31,240,419,62,25,9,489,192,805,936
024005,Karl-Marx-Allee Nord,2432,21,14,174,47,61,1316,44,239,262,78,10,8,285,93,28,519
024006,Karl-Marx-Allee Süd,6320,63,44,650,226,111,2948,48,239,294,54,10,6,468,142,564,1130
025007,Frankfurter Allee Nord,4390,26,12,320,101,76,1894,29,184,377,56,28,11,516,137,126,860
025008,Frankfurter Allee Süd FK,9123,76,48,907,354,187,3727,55,329,597,129,29,6,1016,372,964,2035
029900,"Bezirk (Fh-Kb), nicht zuzuordnen",1614,38,28,117,42,40,906,22,176,144,0,2,1,92,14,143,248
030000,Pankow,38750,303,154,3103,804,1013,19757,582,2878,4024,832,195,74,4126,1401,632,8466
031001,Buch,1602,16,7,208,52,63,657,19,84,117,24,19,6,211,46,37,424
032002,Blankenfelde/Niederschönhausen,1442,5,1,108,25,41,703,20,173,109,47,6,3,157,47,10,282
032003,Buchholz,768,5,2,49,7,29,372,21,75,44,20,4,0,90,17,9,149
033004,Karow,851,4,3,87,18,33,406,13,54,96,73,3,0,75,13,19,173
033005,Blankenburg/Heinersdorf/Märchenland,1255,7,2,118,32,33,657,20,71,110,53,14,8,98,27,11,200
034006,Schönholz/Wilhelmsruh/Rosenthal,933,12,7,55,12,27,480,13,120,58,63,2,1,93,15,5,172
034007,Pankow Zentrum,3501,34,22,250,61,98,1833,48,203,495,75,21,9,390,129,39,740
034008,Pankow Süd,2593,15,5,207,61,82,1272,70,238,342,45,8,0,294,106,28,550
035009,Weißensee,3246,30,16,376,96,118,1447,51,200,260,60,17,7,389,97,52,802
035010,Weißensee Ost,1411,12,7,149,22,50,593,19,115,106,18,14,5,157,34,37,335
036011,Prenzlauer Berg Nordwest,3465,29,11,254,92,65,1879,34,169,418,41,11,7,300,126,118,787
036012,Prenzlauer Berg Nord,3011,26,13,161,44,53,1773,57,163,426,58,7,0,279,78,47,691
036013,Helmholtzplatz,2749,15,7,183,53,45,1566,11,94,301,42,4,1,307,129,48,902
036014,Prenzlauer Berg Ost,4254,33,21,294,69,94,2057,67,356,302,76,31,14,472,224,53,665
037015,Prenzlauer Berg Südwest,3655,21,5,352,103,67,1990,39,318,350,80,13,3,368,133,50,791
037016,Prenzlauer Berg Süd,2719,17,9,172,40,67,1462,47,284,352,55,18,8,362,168,35,590
039900,"Bezirk (Pk), nicht zuzuordnen",1295,22,16,80,17,48,610,33,161,138,2,3,2,84,12,34,213
040000,Charlottenburg-Wilmersdorf,53357,401,198,3967,921,1319,25950,875,3973,3352,962,157,65,3806,978,942,9595
041001,Charlottenburg Nord,2846,23,9,331,82,116,1083,80,372,105,40,9,2,261,17,198,759
042002,Heerstraße,1337,15,9,119,31,23,644,37,171,72,68,12,7,170,50,29,270
042003,Westend,4458,27,19,326,78,122,2465,105,354,174,70,15,8,272,38,36,735
043004,Schloss Charlottenburg,5193,35,15,416,83,155,2727,89,385,445,116,17,9,449,153,90,1062
043005,Mierendorffplatz,2151,12,8,169,33,68,959,30,191,141,38,2,1,180,32,41,462
043006,Otto-Suhr-Allee/Kantstraße,9349,65,30,736,180,218,4987,78,442,704,156,40,12,632,129,136,1824
044007,Grunewald,1691,11,7,113,18,53,792,53,253,79,98,5,1,198,94,18,333
044008,Schmargendorf,2047,10,5,130,26,47,1074,59,240,224,77,6,3,190,52,23,362
045009,Halensee,3568,29,13,190,33,93,1847,78,314,217,75,7,5,224,48,35,628
045010,Lietzenburger Straße,10899,109,47,903,242,223,5724,123,566,438,135,21,10,675,243,177,1849
045011,Volkspark Wilmersdorf,8332,37,16,402,84,140,2750,88,432,647,89,22,7,446,122,105,1005
049900,"Bezirk (Ch-Wi), nicht zuzuordnen",1486,28,20,132,31,61,898,55,253,106,0,1,0,109,0,54,306
050000,Spandau,26240,256,138,2960,731,980,11303,306,1636,1272,603,148,67,2281,364,476,5999
051001,Hakenfelde,1634,15,10,190,47,75,777,18,134,102,38,8,5,130,19,35,402
051002,Falkenhagener Feld,2757,34,17,426,87,122,1053,37,253,146,83,31,8,281,12,39,872
051003,Spandau Mitte,5997,79,46,674,162,226,2379,34,272,299,66,39,19,461,61,190,1323
052004,Brunsbütteler Damm,1735,12,4,172,33,63,813,35,147,89,50,9,4,199,30,18,387
052005,Heerstraße,2703,26,10,415,109,135,1061,39,156,71,108,16,7,306,92,35,825
052006,Wilhelmstadt,6356,43,21,632,172,178,2936,33,230,278,89,17,8,475,67,78,1182
053007,Haselhorst,1783,18,8,171,48,58,724,30,142,65,55,5,3,119,25,32,366
053008,Siemensstadt,1592,10,9,143,32,42,763,33,149,110,36,10,5,155,44,22,344
054009,Gatow/Kladow,898,10,5,84,26,35,420,24,48,68,77,10,5,97,8,5,170
059900,"Bezirk (Sp), nicht zuzuordnen",785,9,8,53,15,46,377,23,105,44,1,3,3,58,6,22,128
060000,Steglitz-Zehlendorf,23409,146,69,1674,335,796,11441,476,1892,2197,768,187,71,2582,667,373,4239
061001,Schloßstraße,3883,25,16,181,29,71,2400,35,152,345,36,15,2,209,44,45,434
061002,Albrechtstraße,2953,22,8,287,57,110,1317,86,295,276,83,38,15,336,75,67,680
062003,Lankwitz,2687,15,7,274,46,121,1015,49,185,122,67,14,4,329,34,70,644
062004,Ostpreußendamm,2282,16,7,204,51,98,1016,50,179,185,104,13,6,288,69,42,483
063005,Teltower Damm,2374,12,7,173,30,100,1066,40,165,371,92,15,5,258,56,38,449
063006,Drakestraße,2860,11,1,157,42,85,1434,78,290,235,107,30,12,304,39,32,506
064007,Zehlendorf Südwest,2161,14,6,137,36,84,994,35,170,173,83,17,7,317,151,13,367
064008,Zehlendorf Nord,3532,27,14,209,34,95,1799,94,364,395,196,26,5,483,193,46,556
069900,"Bezirk (St-Zd), nicht zuzuordnen",677,4,3,52,10,32,400,9,92,95,0,19,15,58,6,20,120
070000,Tempelhof-Schöneberg,39611,355,184,3197,720,1139,19009,562,3012,2745,719,216,83,3199,636,1095,7542
071001,Schöneberg Nordwest,6747,103,63,528,142,142,3822,29,214,369,93,20,12,347,47,264,1492
071002,Schöneberg Nordost,2827,28,15,230,60,69,1327,42,162,352,66,14,7,225,36,126,585
072003,Schöneberg Südwest,2117,20,14,177,42,60,1032,36,165,245,46,9,4,189,30,50,449
072004,Schöneberg Südost,4934,32,14,379,94,119,2201,31,232,365,36,13,6,365,102,135,739
073005,Friedenau West,2455,17,9,114,21,34,1429,32,116,354,45,3,1,189,61,19,308
073006,Friedenau Ost,1820,9,4,152,35,63,915,42,165,139,43,16,11,216,39,36,405
074007,Tempelhof Nord,2724,10,5,180,33,63,950,27,209,194,35,26,0,193,53,144,398
074008,Tempelhof Südwest,3627,30,11,279,48,124,1600,32,385,160,47,20,7,338,128,58,623
074009,Tempelhof Südost,2374,16,7,207,44,84,1207,46,273,87,24,14,8,165,9,39,418
075010,Mariendorf Nord,2232,19,7,225,50,84,1009,55,303,95,62,14,4,219,24,47,538
